,geometry,FID,Activity,ActivityDa,ComName,MonYr,FinYr,Detection1,Date_S
228,POINT Z (153.513107 -28.15985799921429 0),228,Treatment,1/08/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
229,POINT Z (153.112748 -25.92977399925732 0),229,Treatment,22/10/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
230,POINT Z (153.1143850000001 -26.39537699924795 0),230,Treatment,3/09/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
231,POINT Z (153.1135830000001 -26.39453799924799 0),231,Treatment,3/09/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
232,POINT Z (153.11631 -25.93066299925728 0),232,Treatment,22/10/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
233,POINT Z (153.116337 -25.93069699925731 0),233,Treatment,22/10/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
234,POINT Z (153.4937120000001 -27.54340999922572 0),234,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
235,POINT Z (153.4512850000001 -27.72048499922241 0),235,Treatment,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
236,POINT Z (153.4562930000001 -27.6824649992231 0),236,Treatment,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
237,POINT Z (153.4759750000001 -27.5926919992248 0),237,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
238,POINT Z (153.500582 -27.52509699922603 0),238,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
239,POINT Z (153.4944720000001 -27.54209199922572 0),239,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
240,POINT Z (153.516335 -27.48440999922681 0),240,Treatment,11/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
241,POINT Z (153.5163230000001 -27.48434299922682 0),241,Treatment,11/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
242,POINT Z (153.5031300000001 -27.51851799922618 0),242,Treatment,12/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
243,POINT Z (153.504323 -27.51497999922625 0),243,Treatment,12/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
244,POINT Z (153.437845 -27.32646499922982 0),244,Treatment,27/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
245,POINT Z (153.424297 -27.30016299923034 0),245,Treatment,27/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
246,POINT Z (153.4172570000001 -27.24911999923132 0),246,Treatment,28/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
247,POINT Z (153.4172070000001 -27.24768699923132 0),247,Treatment,28/11/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
248,POINT Z (153.451372 -27.71242899922255 0),248,Treatment,9/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
249,POINT Z (153.468888 -27.59908999922467 0),249,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
250,POINT Z (153.472075 -27.59713899922468 0),250,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
251,POINT Z (153.4743930000001 -27.59487399922476 0),251,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
252,POINT Z (153.47568 -27.59161199922482 0),252,Treatment,10/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
253,POINT Z (153.5105900000001 -27.49911999922656 0),253,Treatment,12/12/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
254,POINT Z (153.1137020000001 -26.39532499924798 0),254,Treatment,3/09/2013,Bitou bush,,2013 - 2014,<Null>,July13_Dec13
